73 68 3 8.5 15
8.5 0.1966 0.254967
10.5 0.4597 0.561561
12.5 0.7746 0.920689
14.5 1.1609 1.3329
16.5 1.6112 1.79854
18.5 2.1265 2.31788
20.5 2.7051 2.89109
22.5 3.3441 3.51831
24.5 4.0411 4.19966
26.5 4.7937 4.93522
28.5 5.5992 5.72506
30.5 6.457 6.56923
32.5 7.3667 7.4678
34.5 8.3293 8.42079
36.5 9.3458 9.42825
38.5 10.4169 10.4902
40.5 11.5431 11.6067
42.5 12.7224 12.7777
44.5 13.9491 14.0033
46.5 15.2181 15.2834
48.5 16.5221 16.6182
13.5 1.3394 1.12013
15.5 1.7467 1.55902
17.5 2.2184 2.05148
19.5 2.7527 2.59774
21.5 3.3484 3.19794
23.5 4.003 3.85221
25.5 4.7143 4.56066
27.5 5.4805 5.32335
29.5 6.3004 6.14035
31.5 7.1733 7.01172
33.5 8.0998 7.93749
35.5 9.08 8.91771
37.5 10.1147 9.95242
39.5 11.2036 11.0416
41.5 12.3466 12.1854
43.5 13.5441 13.3837
45.5 14.7911 14.6365
16.5 2.1237 2.12741
18.5 2.6293 2.65696
20.5 3.1973 3.23848
22.5 3.8243 3.87243
24.5 4.5094 4.5592
26.5 5.2506 5.29907
28.5 6.0465 6.09226
30.5 6.8963 6.93898
32.5 7.7988 7.83938
34.5 8.7546 8.79359
36.5 9.7638 9.80171
38.5 10.8268 10.8639
40.5 11.9392 11.9801
42.5 13.0861 13.1505
23.5 4.58 4.2092
25.5 5.2251 4.92248
27.5 5.9273 5.68899
29.5 6.6819 6.50892
31.5 7.4919 7.38246
33.5 8.3573 8.30975
35.5 9.2778 9.2909
37.5 10.2535 10.326
39.5 11.2851 11.4152
41.5 12.3701 12.5585
