FORMALISM A 
_________________________________
APPROACH A1 
_________________________________
ℐ₁ : ℐ₂ : ℐ₃ | 71:16:6
V=1
𝛾=25
_________________________________
### RMS=0.226156 [keV] ###
_________________________________
TSD1
I   E(EXP)  E(TH)   
21.5 3.3484 3.35915
23.5 4.003 4.03148
25.5 4.7143 4.75649
27.5 5.4805 5.53417
29.5 6.3004 6.36451
31.5 7.1733 7.24749
33.5 8.0998 8.18312
35.5 9.08 9.17139
37.5 10.1147 10.2123
39.5 11.2036 11.3058
41.5 12.3466 12.452
43.5 13.5441 13.6508
45.5 14.7911 14.9022
TSD3
I   E(EXP)  E(TH)   
16.5 2.1237 1.99383
18.5 2.6293 2.54267
20.5 3.1973 3.14345
22.5 3.8243 3.79625
24.5 4.5094 4.50113
26.5 5.2506 5.25816
28.5 6.0465 6.06738
30.5 6.8963 6.92884
32.5 7.7988 7.84258
34.5 8.7546 8.80864
36.5 9.7638 9.82705
38.5 10.8268 10.8978
40.5 11.9392 12.021
42.5 13.0861 13.1966
TSD4
I  E(EXP) | E(TH) [0,0] 
23.5 4.58 4.03148
25.5 5.2251 4.75649
27.5 5.9273 5.53417
29.5 6.6819 6.36451
31.5 7.4919 7.24749
33.5 8.3573 8.18312
35.5 9.2778 9.17139
37.5 10.2535 10.2123
39.5 11.2851 11.3058
41.5 12.3701 12.452

_________________________________
APPROACH B2 
_________________________________
ℐ₁ : ℐ₂ : ℐ₃ | 71:6:16
V=1.6
𝛾=25
_________________________________
### RMS=0.181153 [keV] ###
_________________________________
TSD1
I   E(EXP)  E(TH)
8.5 0.1966 0.239922
10.5 0.4597 0.536806
12.5 0.7746 0.89051
14.5 1.1609 1.30093
16.5 1.6112 1.76797
18.5 2.1265 2.29159
20.5 2.7051 2.87172
22.5 3.3441 3.50835
24.5 4.0411 4.20143
26.5 4.7937 4.95094
28.5 5.5992 5.75688
30.5 6.457 6.61921
32.5 7.3667 7.53794
34.5 8.3293 8.51305
36.5 9.3458 9.54454
38.5 10.4169 10.6324
40.5 11.5431 11.7766
42.5 12.7224 12.9772
44.5 13.9491 14.2341
46.5 15.2181 15.5474
48.5 16.5221 16.917
TSD2
I   E(EXP)  E(TH)
13.5 1.3394 1.08863
15.5 1.7467 1.52737
17.5 2.2184 2.02271
19.5 2.7527 2.57459
21.5 3.3484 3.18298
23.5 4.003 3.84783
25.5 4.7143 4.56913
27.5 5.4805 5.34686
29.5 6.3004 6.181
31.5 7.1733 7.07153
33.5 8.0998 8.01845
35.5 9.08 9.02175
37.5 10.1147 10.0814
39.5 11.2036 11.1975
41.5 12.3466 12.3699
43.5 13.5441 13.5986
45.5 14.7911 14.8837
TSD3
I   E(EXP)  E(TH)
16.5 2.1237 1.98029
18.5 2.6293 2.51987
20.5 3.1973 3.11456
22.5 3.8243 3.76448
24.5 4.5094 4.46974
26.5 5.2506 5.23045
28.5 6.0465 6.0467
30.5 6.8963 6.91856
32.5 7.7988 7.84612
34.5 8.7546 8.82942
36.5 9.7638 9.86853
38.5 10.8268 10.9635
40.5 11.9392 12.1144
42.5 13.0861 13.3212
TSD4
I  E(EXP) | E(TH) [1,0]
23.5 4.58 4.11019
25.5 5.2251 4.84316
27.5 5.9273 5.63163
29.5 6.6819 6.47567
31.5 7.4919 7.37537
33.5 8.3573 8.3308
35.5 9.2778 9.342
37.5 10.2535 10.409
39.5 11.2851 11.5319
41.5 12.3701 12.7108
