FORMALISM A 
_________________________________
APPROACH A1 
_________________________________
ℐ₁ : ℐ₂ : ℐ₃ | 77:49:3
V=1.8
𝛾=15
_________________________________
### RMS=0.196485 [keV] ###
_________________________________
TSD1
I   E(EXP)  E(TH)   
ℐ₁ : ℐ₂ : ℐ₃ | 73:67:3
V=7.3
𝛾=15
_________________________________
### RMS=0.138382 [keV] ###
_________________________________
TSD1
I   E(EXP)  E(TH)
8.5 0.1966 0.256093
10.5 0.4597 0.563875
12.5 0.7746 0.924239
14.5 1.1609 1.33772
16.5 1.6112 1.80468
18.5 2.1265 2.32536
20.5 2.7051 2.89994
22.5 3.3441 3.52856
24.5 4.0411 4.21133
26.5 4.7937 4.94833
28.5 5.5992 5.73964
30.5 6.457 6.5853
32.5 7.3667 7.48536
34.5 8.3293 8.43988
36.5 9.3458 9.44887
38.5 10.4169 10.5124
40.5 11.5431 11.6304
42.5 12.7224 12.803
44.5 13.9491 14.0302
46.5 15.2181 15.3119
48.5 16.5221 16.6483
TSD2
I   E(EXP)  E(TH)
13.5 1.3394 1.12432
15.5 1.7467 1.5645
17.5 2.2184 2.05829
19.5 2.7527 2.6059
21.5 3.3484 3.20749
23.5 4.003 3.86317
25.5 4.7143 4.57305
27.5 5.4805 5.33719
29.5 6.3004 6.15567
31.5 7.1733 7.02853
33.5 8.0998 7.95581
35.5 9.08 8.93756
37.5 10.1147 9.97381
39.5 11.2036 11.0646
41.5 12.3466 12.2099
43.5 13.5441 13.4098
45.5 14.7911 14.6642
TSD3
I   E(EXP)  E(TH)
16.5 2.1237 2.12014
18.5 2.6293 2.65045
20.5 3.1973 3.23285
22.5 3.8243 3.86781
24.5 4.5094 4.5557
26.5 5.2506 5.2968
28.5 6.0465 6.09133
30.5 6.8963 6.93948
32.5 7.7988 7.84139
34.5 8.7546 8.7972
36.5 9.7638 9.80702
38.5 10.8268 10.8709
40.5 11.9392 11.989
42.5 13.0861 13.1613
TSD4
I  E(EXP) | E(TH) [1,0]
23.5 4.58 4.20512
25.5 5.2251 4.91958
27.5 5.9273 5.68737
29.5 6.6819 6.50869
31.5 7.4919 7.3837
33.5 8.3573 8.31255
35.5 9.2778 9.29536
37.5 10.2535 10.3322
39.5 11.2851 11.4232
41.5 12.3701 12.5684
