################
I=10
H(0.0,0.0) = -6.510176378382064
H(0.0,20.0) = -6.510176378382064
H(0.0,40.0) = -6.510176378382064
H(0.0,60.0) = -6.510176378382064
H(0.0,80.0) = -6.510176378382064
H(0.0,100.0) = -6.510176378382064
H(0.0,120.0) = -6.510176378382064
H(0.0,140.0) = -6.510176378382064
H(0.0,160.0) = -6.510176378382064
H(0.0,180.0) = -6.510176378382064
H(0.0,200.0) = -6.510176378382064
H(0.0,220.0) = -6.510176378382064
H(0.0,240.0) = -6.510176378382064
H(0.0,260.0) = -6.510176378382064
H(0.0,280.0) = -6.510176378382064
H(0.0,300.0) = -6.510176378382064
H(0.0,320.0) = -6.510176378382064
H(0.0,340.0) = -6.510176378382064
H(0.0,360.0) = -6.510176378382064
H(20.0,0.0) = -6.901612108401965
H(20.0,20.0) = -6.573575791476825
H(20.0,40.0) = -5.742958679108247
H(20.0,60.0) = -4.798415749454423
H(20.0,80.0) = -4.18190913672574
H(20.0,100.0) = -4.18190913672574
H(20.0,120.0) = -4.798415749454423
H(20.0,140.0) = -5.742958679108245
H(20.0,160.0) = -6.573575791476825
H(20.0,180.0) = -6.901612108401965
H(20.0,200.0) = -6.573575791476825
H(20.0,220.0) = -5.742958679108247
H(20.0,240.0) = -4.798415749454424
H(20.0,260.0) = -4.18190913672574
H(20.0,280.0) = -4.181909136725739
H(20.0,300.0) = -4.798415749454423
H(20.0,320.0) = -5.742958679108245
H(20.0,340.0) = -6.573575791476825
H(20.0,360.0) = -6.901612108401965
H(40.0,0.0) = -7.263622342449952
H(40.0,20.0) = -6.104968913156232
H(40.0,40.0) = -3.171155441840111
H(40.0,60.0) = 0.16505414256479867
H(40.0,80.0) = 2.3426102976759875
H(40.0,100.0) = 2.3426102976759875
H(40.0,120.0) = 0.16505414256480044
H(40.0,140.0) = -3.1711554418401073
H(40.0,160.0) = -6.104968913156231
H(40.0,180.0) = -7.263622342449952
H(40.0,200.0) = -6.104968913156233
H(40.0,220.0) = -3.171155441840111
H(40.0,240.0) = 0.16505414256479511
H(40.0,260.0) = 2.3426102976759875
H(40.0,280.0) = 2.342610297675991
H(40.0,300.0) = 0.16505414256479867
H(40.0,320.0) = -3.1711554418401056
H(40.0,340.0) = -6.104968913156233
H(40.0,360.0) = -7.263622342449952
H(60.0,0.0) = -7.543078809756331
H(60.0,20.0) = -5.4398824508087875
H(60.0,40.0) = -0.11440232474157952
H(60.0,60.0) = 5.941510231339558
H(60.0,80.0) = 9.894226428473152
H(60.0,100.0) = 9.894226428473152
H(60.0,120.0) = 5.941510231339562
H(60.0,140.0) = -0.11440232474157419
H(60.0,160.0) = -5.439882450808786
H(60.0,180.0) = -7.543078809756331
H(60.0,200.0) = -5.439882450808788
H(60.0,220.0) = -0.11440232474157952
H(60.0,240.0) = 5.941510231339551
H(60.0,260.0) = 9.894226428473152
H(60.0,280.0) = 9.894226428473155
H(60.0,300.0) = 5.941510231339558
H(60.0,320.0) = -0.11440232474157064
H(60.0,340.0) = -5.439882450808789
H(60.0,360.0) = -7.543078809756331
H(80.0,0.0) = -7.69551231073476
H(80.0,20.0) = -4.975809339058534
H(80.0,40.0) = 1.9107203293911823
H(80.0,60.0) = 9.74179292749472
H(80.0,80.0) = 14.853162553922038
H(80.0,100.0) = 14.853162553922038
H(80.0,120.0) = 9.741792927494727
H(80.0,140.0) = 1.9107203293911894
H(80.0,160.0) = -4.975809339058531
H(80.0,180.0) = -7.69551231073476
H(80.0,200.0) = -4.975809339058534
H(80.0,220.0) = 1.9107203293911823
H(80.0,240.0) = 9.741792927494712
H(80.0,260.0) = 14.853162553922038
H(80.0,280.0) = 14.853162553922038
H(80.0,300.0) = 9.74179292749472
H(80.0,320.0) = 1.910720329391193
H(80.0,340.0) = -4.975809339058536
H(80.0,360.0) = -7.69551231073476
H(100.0,0.0) = -7.69551231073476
H(100.0,20.0) = -4.975809339058534
H(100.0,40.0) = 1.9107203293911823
H(100.0,60.0) = 9.74179292749472
H(100.0,80.0) = 14.853162553922038
H(100.0,100.0) = 14.853162553922038
H(100.0,120.0) = 9.741792927494727
H(100.0,140.0) = 1.9107203293911894
H(100.0,160.0) = -4.975809339058531
H(100.0,180.0) = -7.69551231073476
H(100.0,200.0) = -4.975809339058534
H(100.0,220.0) = 1.9107203293911823
H(100.0,240.0) = 9.741792927494712
H(100.0,260.0) = 14.853162553922038
H(100.0,280.0) = 14.853162553922038
H(100.0,300.0) = 9.74179292749472
H(100.0,320.0) = 1.910720329391193
H(100.0,340.0) = -4.975809339058536
H(100.0,360.0) = -7.69551231073476
H(120.0,0.0) = -7.543078809756331
H(120.0,20.0) = -5.4398824508087875
H(120.0,40.0) = -0.11440232474157774
H(120.0,60.0) = 5.941510231339562
H(120.0,80.0) = 9.894226428473155
H(120.0,100.0) = 9.894226428473155
H(120.0,120.0) = 5.941510231339565
H(120.0,140.0) = -0.11440232474157064
H(120.0,160.0) = -5.439882450808786
H(120.0,180.0) = -7.543078809756331
H(120.0,200.0) = -5.4398824508087875
H(120.0,220.0) = -0.11440232474157774
H(120.0,240.0) = 5.941510231339555
H(120.0,260.0) = 9.894226428473155
H(120.0,280.0) = 9.894226428473159
H(120.0,300.0) = 5.941510231339562
H(120.0,320.0) = -0.11440232474156709
H(120.0,340.0) = -5.439882450808789
H(120.0,360.0) = -7.543078809756331
H(140.0,0.0) = -7.263622342449952
H(140.0,20.0) = -6.104968913156231
H(140.0,40.0) = -3.1711554418401082
H(140.0,60.0) = 0.165054142564804
H(140.0,80.0) = 2.3426102976759946
